location,off_time,horse_name,jockey,trainer,trainer_win_pct,trainer_runs,age,distance_f,race_class,field_size,form_string,odds,status,going,distance,cd_winner,rp_or,rp_rpr,rp_ts
Clairefontaine,3:25,Rekhale,Cristian Demuro,A Botti,13.0,15.0,5.0,7.0,Class 3,12,441373,22.5,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,3:25,Umami,Dorian Provost,Y Barberot,19.0,16.0,4.0,7.0,Class 3,12,904217,25.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,3:25,The Cat's,Rosario Mangione,X Richard,0.0,1.0,5.0,7.0,Class 3,12,094533,27.5,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,3:25,Maya Chop,Mme Ambre Molins,J Parize,0.0,8.0,4.0,7.0,Class 3,12,411604,30.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,3:25,True Value,Mme Frida Valle Skar,Mme C Barande-Barbe,25.0,8.0,5.0,7.0,Class 3,12,0-0072,32.5,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,4:10,Vardif,Clement Lecoeuvre,F-H Graffard,25.0,36.0,3.0,7.0,Class 2,12,2139-6,5.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,4:10,Khozan,Christophe Soumillon,Christopher Head,33.0,9.0,3.0,7.0,Class 2,12,19,7.5,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,4:10,Raise The Point,Pierre-Charles Boudot,F Rohaut,0.0,10.0,3.0,7.0,Class 2,12,71,10.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,4:10,Tornado Alley,Hugo Boutin,P Leblanc,0.0,2.0,3.0,7.0,Class 2,12,-31412,12.5,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,4:10,Saint Saens,Maxime Guyon,Y Barberot,19.0,16.0,3.0,7.0,Class 2,12,133700,15.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,4:10,Persian Imp Cen,Aurelien Lemaitre,Nicolas Le Roch,25.0,4.0,3.0,7.0,Class 2,12,2-2272,17.5,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,4:10,Silver Rush,D Santiago,M Nigge,0.0,6.0,3.0,7.0,Class 2,12,4735,20.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,4:10,Acary,Alexis Pouchin,Matthieu Gonzalez,100.0,1.0,3.0,7.0,Class 2,12,4106,22.5,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,4:10,Michael The Great,Tony Piccone,H-A Pantall,21.0,29.0,3.0,7.0,Class 2,12,-88992,25.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,4:10,Josefova,Benjamin Marie,Jiri Chaloupka,0.0,0.0,3.0,7.0,Class 2,12,16-266,27.5,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,4:10,Melusine Du Houley,Cristian Demuro,Y Barberot,19.0,16.0,3.0,7.0,Class 2,12,238210,30.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,4:10,No Turning Back,Stephane Pasquier,N Caullery,5.0,20.0,3.0,7.0,Class 2,12,124,32.5,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,4:10,Filigrane,Ludovic Boisseau,Mme J Le Stang,0.0,3.0,3.0,7.0,Class 2,12,141037,35.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,4:45,Elenka,Maxime Guyon,J Leroy,0.0,7.0,4.0,7.0,Class 3,11,860449,5.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,4:45,Teranga,Julia LaCroix,B Legros,0.0,3.0,6.0,7.0,Class 3,11,000066,7.5,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,4:45,Lunala,Marvin Grandin,Helmi Boujardine,0.0,2.0,6.0,7.0,Class 3,11,087773,10.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,4:45,Hematite,Pierre-Charles Boudot,B Legros,0.0,3.0,4.0,7.0,Class 3,11,800009,12.5,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,4:45,Bawe Island,Mme Lorette Gallo,M Boutin,32.0,22.0,5.0,7.0,Class 3,11,800750,15.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,4:45,Ciaccino,Hugo Boutin,M Boutin,32.0,22.0,4.0,7.0,Class 3,11,226065,17.5,Active,Very Soft,6f211y,0,0.0,0.0,0.0
